id	name	studyId	level	levels	blockNumber	entryNumber	entryType	x	y	sampleId	germplasmId	plantingDate	harvestDate	replicate	plantNumber	plotNumber	containedIn	locationId
1		1			1			1	1	1	58	2011-11-01	2011-11-20	1	1	1	NULL	NULL
2		1			1			2	1	2	58	2011-11-01	2011-11-20	1	2	1	NULL	NULL
3		1			1			3	1	3	58	2011-11-01	2011-11-20	1	3	1	NULL	NULL
4		1			1			4	1	4	58	2011-11-01	2011-11-20	1	4	1	NULL	NULL
5		1			1			5	1	5	58	2011-11-01	2011-11-20	1	5	1	NULL	NULL
6		1			1			6	1	6	58	2011-11-01	2011-11-20	1	6	1	NULL	NULL
7		1			1			7	1	7	58	2011-11-01	2011-11-20	1	7	1	NULL	NULL
8		1			1			8	1	8	58	2011-11-01	2011-11-20	1	8	1	NULL	NULL
9		1			1			1	2		21	2011-11-01	2011-11-20	1	9	1	NULL	NULL
10		1			1			2	2		21	2011-11-01	2011-11-20	1	10	1	NULL	NULL
11		1			1			3	2		21	2011-11-01	2011-11-20	1	11	1	NULL	NULL
12		1			1			4	2		21	2011-11-01	2011-11-20	1	12	1	NULL	NULL
13		1			1			5	2		21	2011-11-01	2011-11-20	1	13	1	NULL	NULL
14		1			1			6	2		21	2011-11-01	2011-11-20	1	14	1	NULL	NULL
15		1			1			7	2		21	2011-11-01	2011-11-20	1	15	1	NULL	NULL
16		1			1			8	2		21	2011-11-01	2011-11-20	1	16	1	NULL	NULL
17		1			1			1	3		30	2011-11-01	2011-11-20	1	17	1	NULL	NULL
18		1			1			2	3		30	2011-11-01	2011-11-20	1	18	1	NULL	NULL
19		1			1			3	3		30	2011-11-01	2011-11-20	1	19	1	NULL	NULL
20		1			1			4	3		30	2011-11-01	2011-11-20	1	20	1	NULL	NULL
21		1			1			5	3		30	2011-11-01	2011-11-20	1	21	1	NULL	NULL
22		1			1			6	3		30	2011-11-01	2011-11-20	1	22	1	NULL	NULL
23		1			1			7	3		30	2011-11-01	2011-11-20	1	23	1	NULL	NULL
24		1			1			8	3		30	2011-11-01	2011-11-20	1	24	1	NULL	NULL
25		1			1			1	4		31	2011-11-01	2011-11-20	1	25	1	NULL	NULL
26		1			1			2	4		31	2011-11-01	2011-11-20	1	26	1	NULL	NULL
27		1			1			3	4		31	2011-11-01	2011-11-20	1	27	1	NULL	NULL
28		1			1			4	4		31	2011-11-01	2011-11-20	1	28	1	NULL	NULL
29		1			1			5	4		31	2011-11-01	2011-11-20	1	29	1	NULL	NULL
30		1			1			6	4		31	2011-11-01	2011-11-20	1	30	1	NULL	NULL
31		1			1			7	4		31	2011-11-01	2011-11-20	1	31	1	NULL	NULL
32		1			1			8	4		31	2011-11-01	2011-11-20	1	32	1	NULL	NULL
33		1			1			1	5		32	2011-11-01	2011-11-20	1	33	1	NULL	NULL
34		1			1			2	5		32	2011-11-01	2011-11-20	1	34	1	NULL	NULL
35		1			1			3	5		32	2011-11-01	2011-11-20	1	35	1	NULL	NULL
36		1			1			4	5		32	2011-11-01	2011-11-20	1	36	1	NULL	NULL
37		1			1			5	5		32	2011-11-01	2011-11-20	1	37	1	NULL	NULL
38		1			1			6	5		32	2011-11-01	2011-11-20	1	38	1	NULL	NULL
39		1			1			7	5		32	2011-11-01	2011-11-20	1	39	1	NULL	NULL
40		1			1			8	5		32	2011-11-01	2011-11-20	1	40	1	NULL	NULL
41		1			1			1	6		33	2011-11-01	2011-11-20	1	41	1	NULL	NULL
42		1			1			2	6		33	2011-11-01	2011-11-20	1	42	1	NULL	NULL
43		1			1			3	6		33	2011-11-01	2011-11-20	1	43	1	NULL	NULL
44		1			1			4	6		33	2011-11-01	2011-11-20	1	44	1	NULL	NULL
45		1			1			5	6		33	2011-11-01	2011-11-20	1	45	1	NULL	NULL
46		1			1			6	6		33	2011-11-01	2011-11-20	1	46	1	NULL	NULL
47		1			1			7	6		33	2011-11-01	2011-11-20	1	47	1	NULL	NULL
48		1			1			8	6		33	2011-11-01	2011-11-20	1	48	1	NULL	NULL
49		1			1			1	7		34	2011-11-01	2011-11-20	1	49	1	NULL	NULL
50		1			1			2	7		34	2011-11-01	2011-11-20	1	50	1	NULL	NULL
51		1			1			3	7		34	2011-11-01	2011-11-20	1	51	1	NULL	NULL
52		1			1			4	7		34	2011-11-01	2011-11-20	1	52	1	NULL	NULL
53		1			1			5	7		34	2011-11-01	2011-11-20	1	53	1	NULL	NULL
54		1			1			6	7		34	2011-11-01	2011-11-20	1	54	1	NULL	NULL
55		1			1			7	7		34	2011-11-01	2011-11-20	1	55	1	NULL	NULL
56		1			1			8	7		34	2011-11-01	2011-11-20	1	56	1	NULL	NULL
57		1			1			1	8		42	2011-11-01	2011-11-20	1	57	1	NULL	NULL
58		1			1			2	8		42	2011-11-01	2011-11-20	1	58	1	NULL	NULL
59		1			1			3	8		42	2011-11-01	2011-11-20	1	59	1	NULL	NULL
60		1			1			4	8		42	2011-11-01	2011-11-20	1	60	1	NULL	NULL
61		1			1			5	8		42	2011-11-01	2011-11-20	1	61	1	NULL	NULL
62		1			1			6	8		42	2011-11-01	2011-11-20	1	62	1	NULL	NULL
63		1			1			7	8		42	2011-11-01	2011-11-20	1	63	1	NULL	NULL
64		1			1			8	8		42	2011-11-01	2011-11-20	1	64	1	NULL	NULL
65		1			1			1	9		43	2011-11-01	2011-11-20	1	65	1	NULL	NULL
66		1			1			2	9		43	2011-11-01	2011-11-20	1	66	1	NULL	NULL
67		1			1			3	9		43	2011-11-01	2011-11-20	1	67	1	NULL	NULL
68		1			1			4	9		43	2011-11-01	2011-11-20	1	68	1	NULL	NULL
69		1			1			5	9		43	2011-11-01	2011-11-20	1	69	1	NULL	NULL
70		1			1			6	9		43	2011-11-01	2011-11-20	1	70	1	NULL	NULL
71		1			1			7	9		43	2011-11-01	2011-11-20	1	71	1	NULL	NULL
72		1			1			8	9		43	2011-11-01	2011-11-20	1	72	1	NULL	NULL
73		1			1			1	10		44	2011-11-01	2011-11-20	1	73	1	NULL	NULL
74		1			1			2	10		44	2011-11-01	2011-11-20	1	74	1	NULL	NULL
75		1			1			3	10		44	2011-11-01	2011-11-20	1	75	1	NULL	NULL
76		1			1			4	10		44	2011-11-01	2011-11-20	1	76	1	NULL	NULL
77		1			1			5	10		44	2011-11-01	2011-11-20	1	77	1	NULL	NULL
78		1			1			6	10		44	2011-11-01	2011-11-20	1	78	1	NULL	NULL
79		1			1			7	10		44	2011-11-01	2011-11-20	1	79	1	NULL	NULL
80		1			1			8	10		44	2011-11-01	2011-11-20	1	80	1	NULL	NULL
81		1			1			1	11		45	2011-11-01	2011-11-20	1	81	1	NULL	NULL
82		1			1			2	11		45	2011-11-01	2011-11-20	1	82	1	NULL	NULL
83		1			1			3	11		45	2011-11-01	2011-11-20	1	83	1	NULL	NULL
