INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	COLLSITE	DECLATITUDE	DECLONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	UUID	HISTORIC	ACCEURL	REMARKS
PHL001	IRGC 10430						Oryza	sativa	Linnaeus			rice	SHINCHIKU-IKU 103	00000000	TWN		23,6	120,653889								400				AGRICULTURAL RESEARCH SERVICE (ARS), UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)	PI 215837		NOR051;USA995		12;13	1	6cf44dde-2adc-463d-a849-4faf5a0db185			
PHL001	IRGC 117267						Oryza	sativa	Linnaeus			rice	FR 13 A	20061001	IND		21,127778	82,800556															NOR051		12;13	1	21ec0046-b7ce-47f4-91f2-dda6495ae65f			
PHL001	IRGC 117268						Oryza	sativa	Linnaeus			rice	IR 64-21	20061001	PHL		13,111389	121,047222															NOR051		12;13	1	376ba3c0-8ed0-468f-ba2d-311b2028adfd			
PHL001	IRGC 117269						Oryza	sativa	Linnaeus			rice	LI-JIANG-XIN-TUAN-HEI-GU	20061001	CHN		35,86	104,165556															NOR051		12;13	1	15c1dfc3-807c-46f6-9da0-2d59a8e84e93			
PHL001	IRGC 117272						Oryza	sativa	Linnaeus			rice	MOROBEREKAN	20061001	GIN		9,998333	-11,318889															NOR051		12;13	1	2297477c-2ae9-452b-9bb3-f3e4190fb435			
PHL001	IRGC 117274						Oryza	sativa	Linnaeus			rice	NIPPONBARE	20061001	JPN		34,783889	134,375278															NOR051		12;13	1	a99de2f0-2d15-4762-8685-e51a8c66b376			
PHL001	IRGC 117278						Oryza	sativa	Linnaeus			rice	SWARNA	20061001	IND		21,127778	82,800556															NOR051		12;13	1	dea7e75b-b889-4fc7-8e26-9a4e33ba348e			
PHL001	IRGC 117281						Oryza	sativa	Linnaeus			rice	ASWINA	20070713	BGD		23,611667	90,339722								500							NOR051		12;13	1	9537e7a5-6c65-4345-826b-1a9931249022			
PHL001	IRGC 12331						Oryza	sativa	Linnaeus			rice	ARC 7229	19700730	IND	Altitude between 5500ft and 8000ft	25,51667	90,2												DIRECTORATE OF RICE RESEARCH, RAJENDRANAGAR, HYDERABAD, A.P. 500 030, (FORMERLY AICRIP)	ARC 7229		NOR051;USA995		12;13	1	47525c35-3849-4bd1-8b1f-99b605232c2b			
PHL001	IRGC 12894						Oryza	sativa	Linnaeus			rice	GOMPA 2	19710112	IND		21,127778	82,800556															NOR051;USA995		12;13	1	29b2a6e9-46a2-4d93-a1f1-ca53ffb32b68			
PHL001	IRGC 14957						Oryza	sativa	Linnaeus			rice	LAC23	19720302	LBR		6,452222	-9,428333								400				UNDP/FAO RICE PROJECT, MONROVIA	FAO ACC. 29.862		NOR051;USA995		12;13	1	5fb54915-51ed-40f6-8e71-b9e6121d66f6			
PHL001	IRGC 15100						Oryza	sativa	Linnaeus			rice	63-104	19720519	CIV		7,546667	-5,546944															NOR051;USA995		12;13	1	9bdca5c7-006e-42dc-bbb8-4e562df22ddb			
PHL001	IRGC 16817						Oryza	sativa	Linnaeus			rice	HASAWI	19720919	SAU		23,917778	45,081111															NOR051;USA995		12;13	1	a272b060-4c41-4e7d-961c-275122c04a64			
PHL001	IRGC 19972	INDO NO. 7757					Oryza	sativa	Linnaeus			rice	KERITING TINGGI	19730118	IDN		-2,690556	119,025833								300				CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS (CRIFC), BOGOR	INDO NO. 7757		NOR051;USA995		12;13	1	2d106cd2-3889-4df8-9fc3-6f8b4fe8e4d0			
PHL001	IRGC 22710						Oryza	sativa	Linnaeus			rice	NONA BOKRA	19730720	IND		21,127778	82,800556															NOR051;USA995		12;13	1	ad902f8b-9c14-4a78-82c2-4ebffc7ca6c5			
PHL001	IRGC 26872						Oryza	sativa	Linnaeus			rice	BINULAWAN	19750107	PHL		7,916667	125,083056								300							NOR051;USA995		12;13	1	a6799508-2aa9-46ec-8c3c-272feb88505b			
PHL001	IRGC 27748						Oryza	sativa	Linnaeus			rice	KHAO DAWK MALI 105	19750319	THA		13,533056	100,958056								300							NOR051;USA995		12;13	1	27756e94-501e-41f4-8482-250c6f3527b7			
PHL001	IRGC 27869						Oryza	sativa	Linnaeus			rice	CHAHORA 144	19740522	PAK		30,395833	69,3625								300				AGRICULTURAL RESEARCH COUNCIL (ARC), KARACHI	PAK. SR. NO. 395		NOR051;USA995		12;13	1	a5a50ebd-87f9-4897-9af4-0e4c083afccf			
PHL001	IRGC 28134						Oryza	sativa	Linnaeus			rice	P 660	19740522	PAK		30,395833	69,3625												AGRICULTURAL RESEARCH COUNCIL (ARC), KARACHI	PAK. SR. NO. 660		NOR051;USA995		12;13	1	ff89ca02-6b91-4f39-8b8a-4910238f6354			
PHL001	IRGC 30412						Oryza	sativa	Linnaeus			rice	IR 29	19760310	PHL		13,111389	121,047222								500							NOR051;USA995		12;13	1	1c4376e3-e66c-4a6b-b990-2b80e27f9f34			
PHL001	IRGC 32559						Oryza	sativa	Linnaeus			rice	NP125	19760706	IND		21,127778	82,800556															NOR051;USA995		12;13	1	ee39008e-672e-4340-8d9c-1cacb9150be4			
PHL001	IRGC 38994						Oryza	sativa	Linnaeus			rice	BICO BRANCO	19770912	BRA		-14,240556	-51,642222															NOR051;USA995		12;13	1	830df449-b7f4-4a04-ab9f-05799532eba7			
PHL001	IRGC 43372	INDO NO. 12529					Oryza	sativa	Linnaeus			rice	CICIH BETON	19780731	IDN		-8,455	115,071667								300				CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS (CRIFC), BOGOR	INDO NO. 12529		NOR051;USA995		12;13	1	e7bc1d1c-f0a8-4f1b-8306-dc8ae019ebf7			
PHL001	IRGC 47017	IS49					Oryza	sativa	Linnaeus			rice		19780419	CIV		7,8	-7,56667					19751201			300		40		IRAT-DAP AMELIORATION DES PLANTES AVENUE DU VAL DE MONTFERRAND, GERDAT B.P. 5035	TOS7564		NOR051;USA995		12;13	1	ada39cf6-7114-4144-ab2f-bf30e06c4bcc			
PHL001	IRGC 50448						Oryza	sativa	Linnaeus			rice	CANELA DE FERRO	19790718	BRA		-14,240556	-51,642222								500				EMBRAPA-CENTRO NACIONAL DE PESQUISA DE ARROZ E FEIJAO (CNFAP)	BRA-004391		NOR051;USA995		12;13	1	c45d2f06-958a-44f5-861c-d87635d960c9			
PHL001	IRGC 51064	17/79/15-029					Oryza	sativa	Linnaeus			rice	SINNA SITHIRA KALI	19790226	LKA		8,836111	80,478333					19790212			300							NOR051;USA995		12;13	1	5ca1a2e8-0702-42dd-8d3f-b7eaf620ea27			
PHL001	IRGC 51400						Oryza	sativa	Linnaeus			rice	PA-TOU-HUNG	19790521	CHN		35,86	104,165556								500				CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS), BEIJING	122		NOR051;USA995		12;13	1	1942bc1a-95a3-470a-b7de-0768ab849e9a			
PHL001	IRGC 53931						Oryza	sativa	Linnaeus			rice	SONA CHUR	19800918	IND		21,127778	82,800556															NOR051;USA995		12;13	1	be4e9cdc-5800-4457-a6c8-40563c027dd9			
PHL001	IRGC 5418						Oryza	sativa	Linnaeus			rice	SINTANE DIOFOR	19620412	BFA		12,241667	-1,556667								300							NOR051;USA995		12;13	1	5abfcd9d-c3c3-40d2-b28d-a6b73b7b6cb3			
PHL001	IRGC 5999						Oryza	sativa	Linnaeus			rice	PANKHARI 203	19630604	IND		21,127778	82,800556								400				CENTRAL RICE RESEARCH INSTITUTE (CRRI), CUTTACK-6, ORISSA	FAO GS 1032		NOR051;USA995		12;13	1	675c7e6e-428f-44d6-9c39-5541c7293f45			
PHL001	IRGC 6208						Oryza	sativa	Linnaeus			rice	CHITRAJ(DA 23)	19630604	BGD		23,611667	90,339722								400				CENTRAL RICE RESEARCH INSTITUTE (CRRI), CUTTACK-6, ORISSA	FAO GS 523		NOR051;USA995		12;13	1	b742901c-f981-465b-b275-c9cbb0318e24			
PHL001	IRGC 6307						Oryza	sativa	Linnaeus			rice	JHONA 349	19630604	IND		21,127778	82,800556								400				CENTRAL RICE RESEARCH INSTITUTE (CRRI), CUTTACK-6, ORISSA	FAO GS 398		NOR051;USA995		12;13	1	abd0051b-f9ad-4bf8-8dd6-90194708ff76			
PHL001	IRGC 6331						Oryza	sativa	Linnaeus			rice	CO 18	19630604	IND		21,127778	82,800556								400				CENTRAL RICE RESEARCH INSTITUTE (CRRI), CUTTACK-6, ORISSA	FAO GS 488		NOR051;USA995		12;13	1	9162a476-5808-44d2-855e-cde1b232adf5			
PHL001	IRGC 63492						Oryza	sativa	Linnaeus			rice	IR 58	19840106	PHL		13,111389	121,047222								500							NOR051;USA995		12;13	1	cd93a3a3-a4b6-40a5-965d-e192dca42eb1			
PHL001	IRGC 63494	059/82/041					Oryza	sativa	Linnaeus			rice	ISSAMO	19830127	MLI		16,16667	-3,5					198201--										NOR051;USA995		12;13	1	d4c83b3b-b806-497d-afbb-f81ff76f3244			
PHL001	IRGC 66640	44-13/84/134					Oryza	sativa	Linnaeus			rice	SI ADULO	19840409	IDN		0,88333	97,56667				350	19840331			300		26					USA995		12;13	1	91887efb-7f4c-4122-bf0a-9e54cea02466			
PHL001	IRGC 67431	016					Oryza	sativa	Linnaeus			rice	DINOLORES	19860121	PHL		13,83333	121,16667					19851112			300							NOR051;USA995		12;13	1	14944f89-e81d-4a48-9579-de19d554920c			
